store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
CHURCH ROAD,74,P1,iii,2012-07-03T00:00:00Z,7500,Fashion,BIHAR 4,Bihar,nonfdu,5481.159277,pdc
CHOWK,76,P1,i,2012-08-13T00:00:00Z,10500,Composite,UP13,UP East,nonfdu,7737.491079,dc
NAGOUR,78,P1,iii,2012-11-02T00:00:00Z,8061,Fashion,RAJASTHAN-1,North,nonfdu,6786.521036,dc
BARABANKI,79,P1,iii,2012-11-04T00:00:00Z,8031,Fashion,UP13,UP East,nonfdu,6777.4972,dc
BETTIAH,80,P1,iii,2012-11-11T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,nonfdu,5221.261905,pdc
AKBARPUR,83,P1,iii,2013-03-09T00:00:00Z,9400,Composite,UP9,UP East,nonfdu,6976.361216,dc
MATHURA,82,P1,iii,2013-03-15T00:00:00Z,6550,Fashion,UP7,North,fdu,5596.835403,dc
PAHARIA,85,P1,ii,2013-03-16T00:00:00Z,8900,Composite,UP5,UP East,nonfdu,6399.406418,dc
MAU,86,P1,iii,2013-03-21T00:00:00Z,8382,Fashion,UP3,UP East,nonfdu,6611.673639,dc
RAJENDER NAGAR,84,P1,iii,2013-03-21T00:00:00Z,10004,Fashion,UP4,UP East,nonfdu,6838.717617,dc
LAKHIMPUR,87,P1,iii,2013-04-11T00:00:00Z,9700,Fashion,UP6,UP East,nonfdu,7726.982455,dc
SAHARSA,88,P1,iii,2013-04-11T00:00:00Z,6980,Fashion,BIHAR 3,Bihar,nonfdu,4991.569882,pdc
SAMASTIPUR,81,P1,iii,2013-05-31T00:00:00Z,8500,Fashion,BIHAR 2,Bihar,nonfdu,6087.092104,pdc
BHAGESHWAR NAGAR,100052,P1,iii,2013-06-01T00:00:00Z,10751,Fashion,UP3,UP East,nonfdu,7847.483797,dc
DEHRADUN,100053,P1,i,2013-06-15T00:00:00Z,7568,Fashion,UK,North,nonfdu,6024.555547,dc
SAKET NAGAR,100049,P1,ii,2013-06-21T00:00:00Z,7592,Fashion,UP2,UP East,nonfdu,6204.16128,dc
MORVI,100055,P1,iii,2013-06-23T00:00:00Z,6056,Fashion,GUJRAT,North,nonfdu,5029.970263,dc
AURANGABAD,100054,P1,iii,2013-06-28T00:00:00Z,8300,Fashion,BIHAR 4,Bihar,nonfdu,6123.106661,pdc
BADAUN,100051,P1,iii,2013-06-29T00:00:00Z,8825,Fashion,UP6,UP East,fdu,7137.365614,dc
BALIA,100090,P1,iii,2013-07-27T00:00:00Z,7530,Fashion,UP3,UP East,nonfdu,5826.134634,dc
HALDWANI,100109,P1,iii,2013-08-04T00:00:00Z,10812,Composite,UK,North,nonfdu,8348.038911,dc
CHAAS,100110,P1,iii,2013-08-14T00:00:00Z,11000,Fashion,JHK2,East/JHK,nonfdu,8749.960404,pdc
GIRIDIH,100140,P1,iii,2013-08-27T00:00:00Z,8700,Fashion,JHK2,East/JHK,nonfdu,6615.121325,pdc
HARIDWAR,100173,P1,iii,2013-09-07T00:00:00Z,7300,Fashion,UK,North,nonfdu,5997.508738,dc
SHIVPURI,100171,P1,iii,2013-09-12T00:00:00Z,8925,Fashion,MP2,North,nonfdu,7378.721314,dc
DUMKA,100205,P1,iii,2013-10-01T00:00:00Z,7600,Fashion,JHK2,East/JHK,nonfdu,5844.502061,pdc
FATHEPUR,100111,P1,iii,2013-10-05T00:00:00Z,7500,Fashion,UP10,UP East,nonfdu,6065.541011,dc
RAIBARELI,100207,P1,iii,2013-10-19T00:00:00Z,10924,Composite,UP10,UP East,nonfdu,7430.862073,dc
JHANSI,100050,P1,iii,2013-10-24T00:00:00Z,7200,Fashion,UP12,UP East,nonfdu,5562.465503,dc
SIWAN,100208,P1,iii,2013-11-07T00:00:00Z,7717,Fashion,BIHAR 1,Bihar,nonfdu,5687.811403,pdc
SASARAM,100113,P1,iii,2013-11-20T00:00:00Z,5320,Fashion,BIHAR 4,Bihar,nonfdu,4535.763201,pdc
DEOGHAR,100366,P1,iii,2013-12-27T00:00:00Z,9500,Fashion,JHK2,East/JHK,nonfdu,7325.647444,pdc
ALLAHABAD,100365,P1,ii,2013-12-28T00:00:00Z,8335,Fashion,UP10,UP East,nonfdu,6392.127243,dc
RAJIV NAGAR,100364,P1,i,2014-02-07T00:00:00Z,5550,Fashion,BIHAR 1,Bihar,nonfdu,4622.784697,pdc
GOPALGANJ,100504,P1,iii,2014-03-31T00:00:00Z,10143,Composite,BIHAR 2,Bihar,nonfdu,6561.608561,pdc
BANDA,100503,P1,iii,2014-04-20T00:00:00Z,8000,Fashion,UP12,UP East,nonfdu,6058.011391,dc
KASHIPUR,100523,P1,iii,2014-05-01T00:00:00Z,7272,Fashion,UK,North,nonfdu,5873.276416,dc
PATNA CITY,100586,P1,i,2014-06-06T00:00:00Z,9000,Fashion,BIHAR 1,Bihar,nonfdu,6870.996379,pdc
FARRUKHABAD,100630,P1,iii,2014-06-28T00:00:00Z,8288,Fashion,UP6,UP East,nonfdu,6798.636035,dc
BAREILLY,100677,P1,iii,2014-07-23T00:00:00Z,8872,Fashion,UP11,UP East,nonfdu,7401.929491,dc
HATHRAS,100645,P1,iii,2014-07-23T00:00:00Z,5208,Fashion,UP7,North,nonfdu,4732.124599,dc
MADHUBANI,100719,P1,iii,2014-09-18T00:00:00Z,8246,Fashion,BIHAR 2,Bihar,nonfdu,6387.093252,pdc
RANCHI,100766,P1,i,2014-09-23T00:00:00Z,9089,Fashion,JHK1,East/JHK,nonfdu,6677.519955,pdc
